Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyus Jones,PG,24,MEM,35,8,21.0,3.4,7.6,.444,0.7,2.5,.295,2.6,5.1,.517,.492,0.5,0.6,.864,0.4,1.9,2.4,4.4,1.2,0.1,0.9,0.5,8.0
DeAndre Jordan,C,32,BRK,37,28,23.1,3.4,4.4,.765,0.0,0.0,.000,3.4,4.4,.770,.765,0.8,1.6,.500,1.8,5.7,7.5,1.8,0.3,1.4,1.6,2.2,7.5
Cory Joseph,PG,29,SAC,38,2,21.1,2.6,5.7,.445,0.7,2.2,.318,1.8,3.5,.526,.507,0.8,1.0,.769,0.6,1.7,2.3,2.4,0.8,0.2,1.0,2.3,6.6
Mfiondu Kabengele,PF,23,LAC,21,0,4.1,0.4,1.3,.286,0.1,0.7,.200,0.2,0.6,.385,.339,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.1
Frank Kaminsky,C,27,PHO,29,13,15.6,2.7,5.8,.464,0.9,2.2,.413,1.8,3.6,.495,.542,0.7,1.1,.613,0.8,3.1,3.9,1.7,0.3,0.4,0.5,1.4,6.9
Enes Kanter,C,28,POR,38,26,26.4,5.1,8.6,.591,0.0,0.0,,5.1,8.6,.591,.591,1.8,2.4,.758,4.2,7.6,11.8,1.2,0.5,0.7,1.2,2.7,12.0
Luke Kennard,SG,24,LAC,36,7,19.9,2.9,6.1,.471,1.5,3.4,.455,1.4,2.8,.490,.595,0.4,0.4,.867,0.3,2.4,2.6,1.8,0.4,0.2,0.8,1.5,7.7
Maxi Kleber,PF,29,DAL,25,19,26.5,2.4,5.2,.454,1.8,3.9,.469,0.5,1.3,.406,.631,1.0,1.0,.960,1.0,4.4,5.4,1.4,0.5,0.8,0.6,2.3,7.5
Nathan Knight,PF,23,ATL,12,0,6.8,1.0,2.3,.429,0.3,0.8,.400,0.7,1.5,.444,.500,1.5,1.7,.900,1.1,1.1,2.2,0.3,0.3,0.4,0.6,0.8,3.8
Kevin Knox,SF,21,NYK,28,0,14.4,1.8,4.4,.398,1.1,2.7,.400,0.7,1.7,.396,.520,0.4,0.5,.786,0.3,1.5,1.8,0.6,0.3,0.2,0.6,1.2,5.0
John Konchar,SG,24,MEM,19,0,16.2,1.5,3.5,.424,0.4,1.2,.304,1.1,2.3,.488,.477,0.8,0.9,.889,0.9,2.6,3.6,1.2,0.9,0.3,0.4,1.4,4.2
Furkan Korkmaz,SG,23,PHI,28,3,19.0,3.1,7.6,.406,1.7,4.6,.375,1.4,3.0,.452,.519,1.1,1.4,.816,0.3,2.1,2.4,1.1,0.7,0.1,1.0,1.2,9.0
Luke Kornet,PF,25,CHI,12,0,7.7,0.8,2.3,.333,0.5,1.9,.261,0.3,0.3,.750,.444,0.2,0.3,.500,0.1,1.2,1.3,0.3,0.2,0.6,0.1,0.1,2.2
Rodions Kurucs,SF-PF,22,TOT,16,0,5.7,0.4,1.5,.250,0.2,1.1,.176,0.2,0.4,.429,.313,0.1,0.1,.500,0.1,0.8,0.9,0.4,0.4,0.3,0.6,0.5,1.0
Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6
Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
Kyle Kuzma,SF,25,LAL,37,11,26.0,4.6,10.4,.444,1.8,5.0,.370,2.8,5.4,.513,.533,0.8,1.2,.659,2.1,4.7,6.8,1.1,0.4,0.6,1.5,1.7,11.8
Anthony Lamb,F,23,HOU,3,0,18.7,0.7,5.3,.125,0.7,3.7,.182,0.0,1.7,.000,.188,0.0,0.0,,2.3,2.0,4.3,0.3,0.0,0.0,0.7,2.3,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,SG,28,IND,22,8,22.8,3.5,7.6,.464,1.5,3.5,.436,2.0,4.1,.489,.565,2.3,2.4,.943,0.7,3.0,3.6,1.5,0.8,0.5,0.7,2.0,10.9
Zach LaVine,SG,25,CHI,37,37,35.5,10.0,19.2,.523,3.5,7.9,.435,6.6,11.2,.586,.614,4.6,5.4,.859,0.7,4.5,5.2,5.1,1.0,0.5,3.9,2.6,28.1
Jake Layman,SF,26,MIN,27,7,16.4,2.4,4.9,.504,0.7,2.1,.328,1.7,2.7,.644,.576,0.9,1.1,.767,0.4,1.3,1.7,0.7,0.8,0.4,0.7,1.1,6.4
Jalen Lecque,PG,20,IND,3,0,3.0,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,1.0,1.0,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.0,0.0,1.7
Damion Lee,SG,28,GSW,38,1,19.0,2.1,4.8,.442,1.4,3.7,.374,0.7,1.1,.667,.586,0.7,0.8,.903,0.4,2.9,3.3,1.4,0.7,0.1,0.4,1.5,6.3
Saben Lee,PG,21,DET,17,0,15.2,2.2,4.3,.521,0.2,0.4,.667,2.0,3.9,.507,.548,1.5,2.3,.667,0.4,1.3,1.7,2.4,0.7,0.3,0.9,1.6,6.2
Alex Len,C,27,TOT,29,7,13.6,2.1,3.3,.642,0.2,0.7,.300,1.9,2.6,.733,.674,1.0,1.7,.592,0.7,2.4,3.1,0.9,0.3,1.2,0.9,1.7,5.4
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,22,5,14.5,2.5,3.9,.659,0.1,0.6,.214,2.4,3.2,.746,.676,1.2,2.0,.605,0.9,2.7,3.5,1.0,0.4,1.3,0.8,1.7,6.4
Kawhi Leonard,SF,29,LAC,32,32,34.3,9.6,18.5,.517,2.1,5.2,.404,7.5,13.3,.561,.573,5.3,6.1,.877,0.9,5.4,6.3,4.8,1.6,0.5,2.0,1.6,26.6
Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
Caris LeVert,SG,26,TOT,13,5,27.8,7.1,16.5,.430,1.7,5.2,.328,5.4,11.3,.476,.481,2.2,2.9,.763,0.9,3.6,4.5,5.7,1.0,0.5,2.3,1.6,18.1
Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
Caris LeVert,G-F,26,IND,1,1,27.0,5.0,14.0,.357,0.0,4.0,.000,5.0,10.0,.500,.357,3.0,4.0,.750,2.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0,13.0
Kira Lewis Jr.,PG,19,NOP,24,0,14.4,2.3,5.9,.390,0.7,2.0,.333,1.6,3.9,.419,.447,0.5,0.8,.650,0.2,0.9,1.0,1.9,0.8,0.1,0.5,1.3,5.8
Damian Lillard,PG,30,POR,37,37,36.1,9.3,20.8,.446,4.3,11.2,.386,5.0,9.6,.517,.550,7.0,7.5,.932,0.5,3.9,4.4,7.9,1.0,0.3,3.3,1.6,29.9
Nassir Little,PF,20,POR,23,2,13.1,1.8,3.7,.477,0.8,2.0,.400,1.0,1.8,.561,.581,1.0,1.1,.846,0.8,1.7,2.5,0.4,0.1,0.3,0.5,1.1,5.3
Kevon Looney,C,24,GSW,29,12,14.7,1.5,2.6,.579,0.1,0.2,.333,1.4,2.4,.600,.592,0.7,0.9,.800,1.7,2.5,4.2,1.5,0.3,0.3,0.6,1.9,3.8
Brook Lopez,C,32,MIL,38,38,27.0,4.0,8.5,.467,1.6,4.5,.345,2.4,4.0,.605,.559,1.3,1.7,.810,1.4,3.7,5.0,0.7,0.5,1.4,0.9,2.1,10.8
Robin Lopez,C,32,WAS,37,9,20.4,3.2,5.5,.584,0.1,0.4,.286,3.1,5.1,.606,.594,1.6,2.3,.714,2.2,2.0,4.2,0.9,0.3,0.6,1.1,1.9,8.1
Kevin Love,PF,32,CLE,4,4,14.5,1.8,5.5,.318,1.0,3.0,.333,0.8,2.5,.300,.409,1.3,1.8,.714,0.5,2.8,3.3,1.3,0.3,0.0,0.8,0.8,5.8
Kyle Lowry,PG,34,TOR,32,32,34.6,6.0,13.5,.445,2.8,7.2,.397,3.2,6.3,.500,.551,3.2,3.7,.873,0.9,4.7,5.5,7.3,1.1,0.2,3.0,3.2,18.1
Timothé Luwawu-Cabarrot,SF,25,BRK,34,6,19.7,2.5,6.5,.389,1.6,4.3,.363,1.0,2.2,.440,.509,0.6,0.8,.769,0.5,1.8,2.4,1.3,0.7,0.1,0.7,1.9,7.2
Trey Lyles,PF,25,SAS,22,9,15.7,1.9,4.0,.483,0.6,1.7,.368,1.3,2.2,.571,.563,0.6,1.0,.619,0.4,3.4,3.8,0.6,0.2,0.0,0.2,0.5,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
Théo Maledon,PG,19,OKC,33,18,26.1,2.8,7.1,.402,1.5,4.1,.370,1.3,3.0,.444,.509,0.7,1.0,.706,0.2,2.8,3.0,3.5,0.9,0.1,1.9,2.4,7.9
Karim Mané,PG,20,ORL,6,0,9.3,0.2,1.5,.111,0.2,0.3,.500,0.0,1.2,.000,.167,0.7,0.7,1.000,0.0,1.7,1.7,0.2,0.0,0.2,0.5,0.5,1.2
Terance Mann,SG,24,LAC,37,3,16.0,1.8,3.7,.471,0.4,1.0,.395,1.4,2.7,.500,.525,0.9,1.1,.810,0.8,2.4,3.3,1.3,0.4,0.2,0.6,1.6,4.8
Nico Mannion,PG,19,GSW,9,1,11.2,1.2,3.7,.333,0.8,2.0,.389,0.4,1.7,.267,.439,0.4,0.9,.500,0.0,1.9,1.9,2.4,0.7,0.0,1.3,1.4,3.7
Boban Marjanović,C,32,DAL,19,1,7.7,1.9,3.9,.493,0.0,0.2,.000,1.9,3.7,.521,.493,0.6,0.8,.750,1.5,2.5,4.0,0.2,0.1,0.1,0.4,0.8,4.5
Lauri Markkanen,PF,23,CHI,17,17,30.5,6.8,13.3,.509,3.1,7.5,.417,3.6,5.8,.626,.626,2.4,2.8,.854,0.5,5.5,6.0,0.9,0.6,0.4,1.6,2.0,19.1
Naji Marshall,SF,23,NOP,5,0,3.4,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.2,0.4,.500,0.0,0.4,0.4,0.4,0.0,0.2,0.2,0.2,0.6
Caleb Martin,SF,25,CHO,27,1,14.9,2.1,5.0,.415,0.7,2.1,.328,1.4,2.9,.481,.485,0.5,1.0,.538,0.7,2.0,2.7,1.1,0.8,0.3,0.7,1.0,5.4
Cody Martin,SF,25,CHO,25,2,11.7,1.4,2.8,.514,0.2,1.0,.250,1.2,1.8,.652,.557,0.3,0.4,.800,0.8,1.5,2.4,1.1,0.5,0.2,0.6,0.6,3.4
Kelan Martin,SF,25,IND,12,0,4.0,0.6,1.7,.350,0.2,0.8,.222,0.4,0.9,.455,.400,0.2,0.2,1.000,0.1,0.9,1.0,0.0,0.3,0.0,0.3,0.4,1.5
Kenyon Martin Jr.,SF,20,HOU,10,0,16.1,2.8,6.1,.459,0.4,1.2,.333,2.4,4.9,.490,.492,1.2,1.8,.667,2.1,2.1,4.2,0.8,0.7,1.0,1.0,1.4,7.2
Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
Garrison Mathews,SG,24,WAS,31,15,16.9,1.9,4.6,.420,1.5,3.7,.400,0.5,0.9,.500,.580,1.6,1.7,.926,0.4,1.4,1.7,0.5,0.7,0.2,0.1,1.6,7.0
Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
Wesley Matthews,SG,34,LAL,31,4,20.2,1.4,3.9,.355,1.0,3.0,.333,0.4,0.9,.429,.483,0.4,0.5,.813,0.4,1.0,1.4,1.1,0.5,0.4,0.5,1.5,4.2
Tyrese Maxey,SG,20,PHI,35,6,15.4,3.3,7.2,.451,0.4,1.6,.268,2.8,5.6,.503,.480,0.7,0.8,.852,0.2,1.5,1.7,1.7,0.4,0.2,0.7,1.1,7.6
Skylar Mays,SG,23,ATL,18,0,7.6,1.1,2.8,.380,0.4,1.3,.348,0.6,1.5,.407,.460,0.9,1.0,.889,0.4,0.4,0.8,1.0,0.3,0.0,0.3,0.4,3.4
Patrick McCaw,SF,25,TOR,3,0,6.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.0,0.3,1.3,0.0,0.0,0.0,1.0,0.0
CJ McCollum,SG,29,POR,13,13,33.8,9.5,20.0,.473,4.8,11.0,.441,4.6,9.0,.513,.594,2.9,3.5,.844,0.5,3.4,3.9,5.0,1.3,0.3,1.0,2.2,26.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. McConnell,PG,28,IND,34,2,25.2,3.1,5.9,.525,0.2,0.6,.316,2.9,5.3,.547,.540,0.3,0.6,.474,0.7,3.0,3.7,6.4,1.9,0.4,1.9,1.6,6.6
Jaden McDaniels,PF,20,MIN,32,1,19.4,2.1,5.0,.419,1.0,2.8,.371,1.1,2.2,.479,.522,0.4,0.8,.500,0.6,2.7,3.3,1.0,0.4,1.0,0.8,2.4,5.6
Jalen McDaniels,SF,23,CHO,18,1,12.1,1.6,3.7,.433,0.3,1.3,.261,1.3,2.4,.523,.478,0.7,1.1,.684,0.4,2.1,2.6,0.5,0.1,0.3,0.9,1.7,4.3
Doug McDermott,PF,29,IND,36,15,26.1,5.2,10.3,.508,1.6,4.5,.366,3.6,5.8,.617,.588,1.3,1.6,.814,1.0,2.9,4.0,1.4,0.3,0.1,0.9,1.8,13.4
Sean McDermott,SF,24,MEM,8,0,15.8,1.3,2.9,.435,0.6,1.9,.333,0.6,1.0,.625,.543,0.8,0.8,1.000,0.5,1.0,1.5,0.5,0.1,0.3,0.5,0.8,3.9
JaVale McGee,C,33,CLE,29,1,15.1,3.2,6.5,.495,0.2,0.7,.263,3.0,5.8,.521,.508,1.0,1.6,.617,1.5,3.4,4.9,1.0,0.5,1.2,1.3,2.6,7.6
Rodney McGruder,SG,29,DET,14,0,10.9,2.1,4.1,.509,0.6,1.4,.421,1.5,2.7,.553,.579,0.4,0.4,.833,0.6,0.9,1.4,1.0,0.5,0.1,0.5,0.7,5.1
Alfonzo McKinnie,SF,28,LAL,18,0,4.7,0.9,1.7,.533,0.3,0.7,.417,0.6,1.0,.611,.617,0.3,0.4,.625,0.4,0.7,1.1,0.1,0.1,0.0,0.1,0.4,2.3
Jordan McLaughlin,PG,24,MIN,24,0,19.5,2.2,5.9,.376,0.7,1.9,.348,1.5,4.0,.389,.433,0.3,0.4,.800,0.5,1.8,2.3,4.7,1.0,0.2,1.1,1.0,5.4
Ben McLemore,SG,27,HOU,27,3,16.1,2.3,6.6,.345,1.4,4.7,.310,0.8,1.9,.431,.455,0.6,0.9,.708,0.4,1.9,2.3,0.9,0.6,0.1,0.9,1.5,6.6
Nicolò Melli,PF,30,NOP,20,0,11.0,0.7,2.7,.259,0.4,1.7,.206,0.4,1.0,.350,.324,0.3,0.4,.857,0.6,2.1,2.6,1.1,0.4,0.1,0.4,1.3,2.1
De'Anthony Melton,PG,22,MEM,23,1,20.4,3.9,8.1,.484,1.7,3.9,.427,2.3,4.2,.536,.586,0.7,1.0,.727,0.6,2.4,3.0,3.0,1.3,0.7,1.2,1.7,10.2
Sam Merrill,SG,24,MIL,14,0,5.9,0.6,1.4,.421,0.4,0.9,.500,0.1,0.5,.286,.579,0.1,0.1,1.000,0.3,0.7,1.0,0.8,0.1,0.0,0.2,0.4,1.7
Chimezie Metu,C,23,SAC,11,0,6.5,1.4,2.7,.500,0.1,0.3,.333,1.3,2.5,.519,.517,0.5,0.8,.667,1.0,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4
Khris Middleton,SF,29,MIL,38,38,33.2,7.4,15.0,.493,2.2,5.2,.424,5.2,9.8,.530,.567,3.3,3.7,.893,0.8,5.3,6.1,5.7,1.1,0.2,2.6,2.5,20.3
Darius Miller,SF,30,OKC,13,0,10.1,1.1,2.2,.500,0.8,1.8,.458,0.2,0.3,.750,.696,0.5,0.5,1.000,0.1,1.3,1.4,1.1,0.5,0.3,0.4,0.7,3.5
Patty Mills,PG,32,SAS,35,0,25.4,4.6,10.3,.443,2.7,6.8,.391,1.9,3.5,.545,.572,1.2,1.3,.894,0.3,1.5,1.8,2.5,0.7,0.0,1.1,1.4,13.0
Paul Millsap,PF,35,DEN,28,27,23.8,3.8,7.3,.512,1.2,3.1,.395,2.5,4.3,.597,.595,1.5,2.3,.683,1.6,3.6,5.2,1.6,0.9,0.6,1.0,2.0,10.3
Shake Milton,SG,24,PHI,31,1,24.8,4.8,11.0,.441,1.0,3.4,.308,3.8,7.6,.500,.488,2.8,3.2,.888,0.6,1.7,2.3,3.1,0.6,0.3,1.6,2.3,13.5
Donovan Mitchell,SG,24,UTA,36,36,34.1,8.4,20.1,.419,3.3,8.8,.381,5.1,11.4,.449,.502,4.5,5.5,.823,1.1,3.6,4.6,5.4,0.9,0.3,3.0,2.3,24.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Mokoka,SG,22,CHI,7,0,6.0,0.7,2.0,.357,0.1,1.1,.125,0.6,0.9,.667,.393,0.0,0.0,,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.7,1.6
Malik Monk,SG,22,CHO,24,0,22.3,4.7,10.2,.463,2.4,5.5,.432,2.3,4.7,.500,.580,1.6,2.0,.796,0.4,2.5,2.8,1.8,0.3,0.1,1.5,1.4,13.4
E'Twaun Moore,SG,31,PHO,24,1,14.5,1.8,4.3,.422,0.3,1.2,.276,1.5,3.0,.479,.461,0.3,0.4,.800,0.5,1.2,1.8,1.5,0.6,0.2,0.8,1.3,4.3
Ja Morant,PG,21,MEM,27,27,31.1,7.1,15.7,.450,0.9,3.6,.247,6.2,12.1,.511,.479,4.7,6.0,.790,0.8,2.5,3.3,7.8,1.0,0.1,2.9,1.6,19.8
Juwan Morgan,PF,23,UTA,15,0,4.7,0.4,0.9,.429,0.2,0.7,.300,0.2,0.3,.750,.536,0.1,0.3,.200,0.3,0.7,0.9,0.3,0.2,0.0,0.1,0.8,1.1
Marcus Morris,PF,31,LAC,30,2,24.2,4.1,9.5,.434,2.2,4.9,.459,1.9,4.7,.407,.551,1.3,1.5,.886,0.7,3.0,3.7,1.0,0.5,0.3,0.9,1.8,11.8
Markieff Morris,PF,31,LAL,32,8,17.4,1.9,4.6,.412,0.9,2.8,.333,1.0,1.8,.534,.514,0.7,1.0,.710,0.7,3.2,3.9,1.0,0.2,0.3,0.6,1.6,5.4
Monte Morris,PG,25,DEN,36,10,27.2,4.0,8.5,.471,1.1,3.2,.351,2.9,5.3,.542,.536,1.3,1.8,.762,0.2,2.0,2.2,3.4,0.7,0.3,0.7,1.0,10.4
Mychal Mulder,PG,26,GSW,34,2,10.6,1.4,3.2,.435,1.1,2.7,.409,0.3,0.4,.600,.611,0.2,0.4,.533,0.0,0.9,0.9,0.4,0.2,0.2,0.2,0.8,4.1
Dejounte Murray,PG,24,SAS,35,35,30.9,6.4,14.3,.449,1.0,3.1,.321,5.4,11.2,.485,.484,1.7,2.1,.813,0.7,6.3,6.9,5.2,1.6,0.1,1.6,2.1,15.6
Jamal Murray,PG,23,DEN,36,36,35.3,7.7,16.3,.473,2.6,6.6,.390,5.2,9.8,.528,.551,2.9,3.4,.847,0.7,3.4,4.1,4.6,1.2,0.3,2.3,2.1,20.9
Mike Muscala,C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
Sviatoslav Mykhailiuk,SF,23,DET,36,5,17.6,2.3,6.2,.377,1.6,4.8,.333,0.8,1.4,.519,.504,0.7,0.8,.800,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
Abdel Nader,SF,27,PHO,21,0,15.0,2.4,4.8,.495,0.7,1.8,.405,1.7,3.0,.547,.569,1.2,1.4,.833,0.2,2.3,2.5,0.8,0.5,0.3,0.7,1.2,6.7
Larry Nance Jr.,PF,28,CLE,21,19,32.8,3.6,7.6,.475,1.2,3.3,.371,2.4,4.3,.556,.556,0.6,1.1,.565,1.4,5.1,6.5,3.0,1.8,0.5,1.5,2.0,9.1
Aaron Nesmith,SF,21,BOS,19,0,15.3,1.4,3.5,.394,0.9,2.6,.360,0.4,0.8,.500,.530,0.4,0.6,.667,0.5,1.8,2.3,0.4,0.2,0.3,0.6,1.9,4.1
Raul Neto,PG,28,WAS,32,6,20.7,3.0,6.9,.436,1.0,2.6,.393,2.0,4.3,.463,.511,0.9,1.1,.824,0.4,1.8,2.3,2.3,1.1,0.1,0.8,1.4,7.9
Georges Niang,PF,27,UTA,38,0,13.3,2.0,4.6,.426,1.2,3.2,.374,0.8,1.4,.547,.557,0.1,0.1,1.000,0.3,1.9,2.2,0.7,0.3,0.1,0.6,1.5,5.3
Zeke Nnaji,PF,20,DEN,24,1,10.5,1.3,2.5,.508,0.6,1.5,.417,0.7,1.0,.640,.631,0.2,0.3,.714,0.5,1.0,1.5,0.2,0.1,0.1,0.2,0.7,3.4
Nerlens Noel,C,26,NYK,34,12,22.2,2.1,3.4,.598,0.0,0.1,.000,2.1,3.4,.609,.598,0.6,1.0,.667,2.2,3.8,6.0,0.6,0.9,2.0,1.2,2.6,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Nowell,SG,21,MIN,25,0,17.9,3.7,8.2,.451,1.5,3.7,.409,2.2,4.5,.487,.544,1.3,1.6,.846,0.5,1.7,2.2,1.3,0.5,0.2,0.7,1.8,10.3
Frank Ntilikina,PG,22,NYK,11,2,13.5,1.6,3.7,.439,1.2,2.1,.565,0.5,1.6,.278,.598,0.3,0.6,.429,0.1,0.8,0.9,0.7,0.9,0.0,0.5,1.5,4.7
Kendrick Nunn,PG,25,MIA,31,19,29.4,5.3,11.7,.450,2.0,5.7,.352,3.3,6.0,.543,.536,1.2,1.3,.923,0.5,2.7,3.2,2.7,1.1,0.3,1.7,1.8,13.7
Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,.485,0.3,1.0,.250,3.9,7.6,.516,.500,1.3,2.3,.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8
David Nwaba,SF,28,HOU,30,9,22.6,3.5,7.2,.488,0.6,2.1,.270,3.0,5.1,.578,.528,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2
Jordan Nwora,SF,22,MIL,10,0,8.2,1.7,3.7,.459,0.8,1.6,.500,0.9,2.1,.429,.568,0.9,1.0,.900,0.1,1.4,1.5,0.0,0.4,0.2,1.0,0.9,5.1
Royce O'Neale,SF,27,UTA,38,38,32.7,2.6,5.8,.441,1.7,4.2,.409,0.9,1.7,.524,.588,0.7,0.8,.833,1.2,5.6,6.8,2.7,0.8,0.6,1.2,2.8,7.5
Semi Ojeleye,PF,26,BOS,35,6,19.1,1.9,4.5,.420,1.3,3.2,.389,0.6,1.3,.500,.561,0.6,0.8,.714,0.6,2.3,2.9,0.8,0.3,0.0,0.4,1.2,5.6
Jahlil Okafor,C,25,DET,12,0,10.0,2.1,3.5,.595,0.0,0.3,.000,2.1,3.3,.641,.595,0.1,0.2,.500,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3
Chuma Okeke,PF,22,ORL,23,2,22.2,1.7,4.6,.371,0.9,2.4,.357,0.8,2.1,.388,.467,0.3,0.6,.615,1.0,2.6,3.5,2.0,0.8,0.4,0.7,1.0,4.6
Josh Okogie,SG,22,MIN,32,20,19.4,1.5,4.5,.343,0.4,1.8,.207,1.2,2.7,.435,.385,1.5,1.8,.814,0.9,1.7,2.6,1.2,0.8,0.4,0.7,2.0,4.9
Onyeka Okongwu,C,20,ATL,18,1,9.9,1.3,2.2,.600,0.0,0.1,.000,1.3,2.2,.615,.600,0.5,0.8,.600,0.8,1.8,2.6,0.3,0.4,0.6,0.4,1.6,3.2
Isaac Okoro,SG,20,CLE,33,33,32.8,2.9,7.3,.402,0.8,3.0,.283,2.1,4.3,.486,.461,1.1,1.6,.679,1.0,1.7,2.7,1.8,1.1,0.5,1.4,3.1,7.8
KZ Okpala,PF,21,MIA,22,9,11.7,1.0,2.5,.400,0.4,1.4,.290,0.6,1.1,.542,.482,0.1,0.3,.333,0.5,1.3,1.9,0.4,0.3,0.3,0.5,1.5,2.5
Victor Oladipo,SG,28,TOT,26,26,32.7,7.3,18.5,.396,2.5,7.7,.322,4.8,10.8,.448,.463,3.2,4.3,.750,0.3,4.8,5.2,4.7,1.4,0.4,2.3,2.3,20.3
Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
Victor Oladipo,SG,28,HOU,17,17,32.4,7.4,19.3,.384,2.3,7.6,.300,5.1,11.6,.439,.444,3.4,4.4,.760,0.5,4.5,4.9,4.9,1.3,0.5,2.4,2.2,20.5
Kelly Olynyk,C,29,MIA,38,33,27.1,3.9,8.8,.447,1.9,5.8,.338,2.0,3.0,.658,.559,0.7,0.9,.771,0.9,5.1,6.0,2.2,0.9,0.6,1.3,2.8,10.5
Miye Oni,SG,23,UTA,27,0,7.7,0.5,1.4,.368,0.5,1.2,.394,0.0,0.2,.200,.539,0.2,0.2,.833,0.5,1.2,1.7,0.2,0.1,0.1,0.3,1.1,1.7
Cedi Osman,SF,25,CLE,37,15,25.8,3.8,10.4,.366,1.9,6.0,.326,1.9,4.4,.421,.460,1.2,1.5,.796,0.7,2.9,3.6,2.6,0.9,0.2,1.1,2.0,10.7
Daniel Oturu,C,21,LAC,11,0,4.9,0.9,1.5,.588,0.0,0.1,.000,0.9,1.5,.625,.588,0.2,0.2,1.000,0.5,1.0,1.5,0.5,0.0,0.3,0.3,0.6,2.0
Kelly Oubre Jr.,SF,25,GSW,37,37,30.4,5.7,13.1,.435,1.6,5.3,.313,4.1,7.8,.517,.498,2.2,3.0,.727,1.4,4.6,6.0,1.4,1.1,0.8,1.2,2.2,15.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,PF,25,SAC,2,0,12.5,2.0,3.5,.571,0.0,0.5,.000,2.0,3.0,.667,.571,0.0,0.0,,0.5,2.5,3.0,0.5,0.0,0.5,1.5,2.0,4.0
Eric Paschall,PF,24,GSW,36,2,17.4,3.8,7.6,.495,0.4,1.3,.298,3.4,6.3,.535,.520,1.7,2.4,.718,0.8,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.6
